urls,keywords,anti-keywords
https://vk.com/s2mby,цена,продается
https://vk.com/marsel_shoes,цену,продаётся
https://vk.com/pizhon_wear,цене,продам
https://vk.com/club90043102,стоимость,продаем
https://vk.com/provokatorshop,почем,продаю
https://vk.com/showroom_svog,почём,продаются
,по чем,отдам
,по чём,отдаю
,размер,отадам
,размеры,предлагаю
,материал,предлагает
,наличии,предлагаем
,сколько,предложение
,,розыгрыш
,,подарим
,,подарю
,,дарим
,,присоединяйтесь
,,хит продаж
,,дары
,,ищу работу
,,поможем
,,предлагаем
,,хотите
,,примите
,,учавствуйте
,,сэкономьте
,,станьте
,,выберите
,,организовываем
,,ждёт
,,ждет
,,должны
,,желающим
,,продажа
,,отправляйтесь
,,набираю
,,задавайте
,,продажи
,,подключайтесь
,,доставим
